epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.174,2.12731,4.29003,0.0275,0.39957,0.36646,0.34366,0.16274,1.82424,2.36248,0.02792,0.000475959,0.000475959,0.000475959
2,326.89,1.78321,2.46743,0.02216,0.54541,0.4721,0.47209,0.22878,1.8178,1.93304,0.02769,0.000914581,0.000914581,0.000914581
3,478.941,1.74924,2.21475,0.02157,0.59694,0.49136,0.51501,0.25333,1.80136,1.88776,0.02742,0.00131548,0.00131548,0.00131548
4,633.927,1.72042,2.05606,0.02103,0.70373,0.5501,0.59024,0.30676,1.73661,1.64654,0.02585,0.00125923,0.00125923,0.00125923
5,800.99,1.67948,1.93322,0.02036,0.691,0.54104,0.5911,0.31602,1.70728,1.58734,0.02527,0.00120265,0.00120265,0.00120265
6,968.805,1.65583,1.85407,0.01995,0.75014,0.57238,0.62947,0.3338,1.69142,1.49958,0.02504,0.00114606,0.00114606,0.00114606
7,1121.08,1.63002,1.78289,0.01956,0.73942,0.58945,0.6379,0.35115,1.64886,1.4604,0.02401,0.00108947,0.00108947,0.00108947
8,1270.41,1.60976,1.70491,0.01933,0.7733,0.60305,0.65924,0.35868,1.68234,1.43158,0.02444,0.00103288,0.00103288,0.00103288
9,1441.48,1.5815,1.65859,0.01882,0.78278,0.61497,0.67422,0.37553,1.64266,1.35055,0.02373,0.000976293,0.000976293,0.000976293
10,1615.49,1.57023,1.58662,0.01853,0.7931,0.62174,0.68377,0.39081,1.61143,1.32325,0.02308,0.000919704,0.000919704,0.000919704
11,1781.21,1.54572,1.55781,0.01817,0.80062,0.63625,0.6968,0.39629,1.58866,1.28574,0.02258,0.000863116,0.000863116,0.000863116
12,1926.58,1.53197,1.53207,0.01803,0.81773,0.63733,0.70094,0.40793,1.56919,1.2852,0.0224,0.000806528,0.000806528,0.000806528
13,2073.37,1.50647,1.46871,0.0176,0.8295,0.63954,0.71119,0.41674,1.54712,1.24089,0.02176,0.000749939,0.000749939,0.000749939
14,2210.87,1.4943,1.42622,0.01732,0.83495,0.65003,0.72126,0.4242,1.54633,1.20794,0.02163,0.000693351,0.000693351,0.000693351
15,2352.87,1.46915,1.38847,0.01698,0.83064,0.65594,0.72521,0.4329,1.5369,1.17271,0.02142,0.000636762,0.000636762,0.000636762
16,2495.67,1.46477,1.17531,0.02044,0.82616,0.67148,0.73632,0.44926,1.50735,1.13867,0.02088,0.000580174,0.000580174,0.000580174
17,2630.06,1.4211,1.10747,0.01969,0.83904,0.68079,0.74742,0.45869,1.47866,1.11888,0.02036,0.000523586,0.000523586,0.000523586
18,2792.57,1.38966,1.05842,0.01906,0.84466,0.69423,0.753,0.46404,1.47563,1.08337,0.02021,0.000466997,0.000466997,0.000466997
19,2964.69,1.35833,1.02206,0.01834,0.84602,0.69394,0.75504,0.46837,1.46765,1.05708,0.02012,0.000410409,0.000410409,0.000410409
20,3108.1,1.33627,0.99333,0.01803,0.84725,0.69733,0.75816,0.47186,1.46156,1.04761,0.01994,0.00035382,0.00035382,0.00035382
21,3242.08,1.3094,0.9686,0.0175,0.86018,0.70265,0.76627,0.48094,1.45176,1.02545,0.01976,0.000297232,0.000297232,0.000297232
22,3387.49,1.28777,0.94101,0.01705,0.86278,0.70172,0.76803,0.48084,1.44447,1.02577,0.01957,0.000240644,0.000240644,0.000240644
23,3537.37,1.27025,0.91678,0.01669,0.87162,0.6957,0.76738,0.48477,1.4448,1.01027,0.01954,0.000184055,0.000184055,0.000184055
24,3692.33,1.25547,0.90213,0.01644,0.85866,0.70416,0.76925,0.48585,1.44045,1.01411,0.01944,0.000127467,0.000127467,0.000127467
25,3832.12,1.24032,0.88527,0.01632,0.86488,0.71174,0.77215,0.48806,1.44234,1.00421,0.01947,7.08784e-05,7.08784e-05,7.08784e-05
