epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3462,1.93647,2.49338,1.99238,0.60821,0.49007,0.51702,0.24894,1.80933,1.75401,1.94397,0.000475959,0.000475959,0.000475959
2,181.65,1.66795,1.79871,1.7584,0.71699,0.54541,0.58797,0.29481,1.76727,1.54763,1.92127,0.000914581,0.000914581,0.000914581
3,269.824,1.62953,1.65486,1.72565,0.74652,0.53019,0.6016,0.31291,1.67668,1.45942,1.85897,0.00131548,0.00131548,0.00131548
4,359.195,1.5923,1.54002,1.69456,0.77262,0.57457,0.64209,0.33897,1.69073,1.37462,1.8603,0.00125923,0.00125923,0.00125923
5,440.89,1.55143,1.44284,1.65714,0.7948,0.59069,0.66232,0.35901,1.63715,1.26742,1.81178,0.00120265,0.00120265,0.00120265
6,524.369,1.52085,1.37939,1.62991,0.80043,0.60267,0.67767,0.37205,1.61669,1.22167,1.79122,0.00114606,0.00114606,0.00114606
7,605.367,1.49317,1.33512,1.60798,0.79365,0.61644,0.68572,0.38593,1.57389,1.18758,1.75967,0.00108947,0.00108947,0.00108947
8,687.73,1.46126,1.28641,1.59186,0.81728,0.63077,0.70015,0.39603,1.55436,1.13193,1.74182,0.00103288,0.00103288,0.00103288
9,770.915,1.43947,1.2383,1.56909,0.82892,0.6353,0.70571,0.40622,1.52644,1.1213,1.72834,0.000976293,0.000976293,0.000976293
10,853.163,1.40822,1.19271,1.54498,0.8186,0.64443,0.71106,0.41433,1.50206,1.07958,1.71032,0.000919704,0.000919704,0.000919704
11,934.768,1.39391,1.16501,1.5332,0.8229,0.64886,0.72384,0.42652,1.47944,1.07188,1.68454,0.000863116,0.000863116,0.000863116
12,1016.28,1.37175,1.14127,1.51717,0.83719,0.65663,0.73118,0.43639,1.47647,1.03223,1.68132,0.000806528,0.000806528,0.000806528
13,1097.93,1.34239,1.09636,1.49714,0.84543,0.65609,0.73644,0.44575,1.44536,1.00953,1.65615,0.000749939,0.000749939,0.000749939
14,1179.66,1.32753,1.06945,1.48378,0.85056,0.66964,0.74743,0.45119,1.43587,0.9875,1.6499,0.000693351,0.000693351,0.000693351
15,1262.96,1.30312,1.04213,1.46598,0.85468,0.67108,0.74706,0.45719,1.41268,0.97016,1.62097,0.000636762,0.000636762,0.000636762
16,1355.87,1.26981,0.94174,1.51909,0.84564,0.68494,0.75454,0.46984,1.39059,0.94,1.61441,0.000580174,0.000580174,0.000580174
17,1437.47,1.23086,0.89089,1.48825,0.87264,0.68465,0.76302,0.47884,1.36738,0.91407,1.59322,0.000523586,0.000523586,0.000523586
18,1517.05,1.19525,0.8535,1.46011,0.87202,0.69094,0.77199,0.48592,1.35514,0.89541,1.58081,0.000466997,0.000466997,0.000466997
19,1599.17,1.1657,0.82758,1.43427,0.87064,0.69443,0.77108,0.4891,1.34832,0.89002,1.57463,0.000410409,0.000410409,0.000410409
20,1680.87,1.13905,0.80799,1.41753,0.8718,0.69381,0.77446,0.49542,1.33372,0.87828,1.56353,0.00035382,0.00035382,0.00035382
21,1761.91,1.11609,0.78467,1.39704,0.86741,0.70495,0.77713,0.49837,1.333,0.86145,1.55976,0.000297232,0.000297232,0.000297232
22,1843.14,1.09267,0.76137,1.37669,0.87408,0.70664,0.77967,0.50254,1.32496,0.85682,1.55789,0.000240644,0.000240644,0.000240644
23,1924.38,1.07396,0.74106,1.362,0.8808,0.70126,0.7789,0.50294,1.32212,0.85082,1.55632,0.000184055,0.000184055,0.000184055
24,2005.98,1.05021,0.72573,1.34576,0.87492,0.71154,0.78308,0.50632,1.31509,0.84286,1.55123,0.000127467,0.000127467,0.000127467
25,2087.73,1.03306,0.71558,1.33799,0.87586,0.71358,0.7851,0.50712,1.31503,0.84256,1.5532,7.08784e-05,7.08784e-05,7.08784e-05
